"bike","route","length_meter", "length_birdway","duration_sec", "duration_time"
"62","2","634.4","317.0194634753359","109.6","1 min 50 sec"
"63","1","1296","370.064482153608","261.6","4 min 22 sec"
"63","2","508","392.7444399938117","97.5","1 min 38 sec"
"64","1","571","364.2464719579751","111.6","1 min 52 sec"
"64","2","471.4","348.7990694410454","126.3","2 min 6 sec"
"65","1","478.1","289.6156260127404","177.8","2 min 58 sec"
"65","2","447.9","356.09941401037315","104.8","1 min 45 sec"
"66","1","763.1","331.81201989907913","158.4","2 min 38 sec"
"66","2","1128.7","357.2909422142616","223.6","3 min 44 sec"
"67","1","771.6","388.0578434570902","128.3","2 min 8 sec"
"67","2","533.1","365.0294110703901","90.3","1 min 30 sec"
"68","1","1129","538.1550725428101","227.8","3 min 48 sec"
"68","2","506.4","406.84036486013395","195.1","3 min 15 sec"
"69","1","540.2","394.82870799402633","88.4","1 min 28 sec"
"69","2","512.8","372.4497917809682","130.3","2 min 10 sec"
"70","1","1928.9","343.2396989946224","338.9","5 min 39 sec"
"70","2","1672.7","391.64874278357485","414.2","6 min 54 sec"
"71","1","485.3","297.13773992118155","109.1","1 min 49 sec"
"71","2","746.5","398.2879627297454","133.2","2 min 13 sec"
"72","1","458.7","356.9454088477289","75","1 min 15 sec"
"72","2","554.2","337.13281147772926","90.7","1 min 31 sec"
"73","1","495.8","348.938198027636","87.1","1 min 27 sec"
"73","2","345.7","344.3972517944847","56.6","0 min 57 sec"
"74","1","653","314.18512842914356","136.7","2 min 17 sec"
"74","2","1115","397.9413171794206","209.1","3 min 29 sec"
"75","1","487.7","372.6382497697414","99.4","1 min 39 sec"
"75","2","464.4","326.0312251066594","78.6","1 min 19 sec"
"76","1","704.1","315.59796768823617","127","2 min 7 sec"
"76","2","489.2","395.8571873037117","112.6","1 min 53 sec"
"77","1","1176.4","383.3414926874317","211.6","3 min 32 sec"
"77","2","707.1","357.78559811823123","124.4","2 min 4 sec"
"78","1","602.2","392.60896750837975","104.3","1 min 44 sec"
"78","2","451.3","306.55847213196984","79.7","1 min 20 sec"
"79","1","489.8","349.25818581558883","105.9","1 min 46 sec"
"79","2","436.1","321.497948079236","71.4","1 min 11 sec"
"80","1","478.2","354.7434691423529","82.5","1 min 23 sec"
"80","2","339","334.22741940154094","86.9","1 min 27 sec"
"81","1","444.9","340.4983646908483","88.7","1 min 29 sec"
"81","2","663.7","398.35024058984845","129.3","2 min 9 sec"
"82","1","1430.1","368.6723626054383","237.1","3 min 57 sec"
"82","2","655.8","331.88861155903777","113.9","1 min 54 sec"
"83","1","585.4","387.49709229980255","108.7","1 min 49 sec"
"83","2","893.7","276.44333720817855","196.3","3 min 16 sec"
"84","1","546","306.8402552917256","228.9","3 min 49 sec"
"84","2","1021.4","396.1796953390706","200.2","3 min 20 sec"
"85","1","665.4","360.36820037680036","162.9","2 min 43 sec"
"85","2","579.2","324.19582300631214","114.2","1 min 54 sec"
"86","1","582.7","284.33435414166166","143.9","2 min 24 sec"
"86","2","437.3","334.49610377514887","86.9","1 min 27 sec"
"87","1","476.2","311.59747280383544","113.7","1 min 54 sec"
"87","2","966.1","362.7862713891612","162","2 min 42 sec"
"88","1","566.6","337.9235469795184","98.4","1 min 38 sec"
"88","2","533.8","412.2897229050065","87.3","1 min 27 sec"
"89","1","395","309.4861579065273","64.6","1 min 5 sec"
"89","2","455.9","343.1179155550045","74.6","1 min 15 sec"
"90","1","623.9","372.81232253768866","140.8","2 min 21 sec"
"90","2","446.5","313.70225100458293","96","1 min 36 sec"
"91","1","956.6","343.62508691632627","267.8","4 min 28 sec"
"91","2","735.9","338.12365856080413","125.2","2 min 5 sec"
"92","1","1584.2","324.9901054121773","341.7","5 min 42 sec"
"92","2","561.6","314.2323103709118","110.9","1 min 51 sec"
"93","1","245.1","230.1366579058944","58.1","0 min 58 sec"
"93","2","568.5","388.91104680471733","107.6","1 min 48 sec"
"94","1","785.6","311.5752637899884","150.5","2 min 31 sec"
"94","2","559.9","370.94641038952966","114.3","1 min 54 sec"
"95","1","438.8","378.6976088469147","79.7","1 min 20 sec"
"95","2","507.7","288.4299155133704","130.7","2 min 11 sec"
"96","1","761.3","343.3304843854218","283.8","4 min 44 sec"
"96","2","636.9","329.93895873912334","262.3","4 min 22 sec"
"97","1","580.8","365.14365433020095","117.6","1 min 58 sec"
"97","2","817.7","392.7823894191278","141.1","2 min 21 sec"
"98","1","612.9","300.9937912314575","146.2","2 min 26 sec"
"98","2","373.7","263.08690355856817","61.1","1 min 1 sec"
"99","1","519.7","360.43578686073323","89.5","1 min 30 sec"
"99","2","533.7","369.4762491857861","99.2","1 min 39 sec"
"100","1","526.1","372.31525987581546","86.1","1 min 26 sec"
"100","2","469","305.52356181611106","76.7","1 min 17 sec"
"101","1","694.4","354.9738159599409","139.9","2 min 20 sec"
"101","2","437.7","324.6395187711448","97.8","1 min 38 sec"
"102","1","604","315.19030188576113","102","1 min 42 sec"
"102","2","610.5","379.3801476294996","99.9","1 min 40 sec"
"103","1","583.4","417.262014262743","115.6","1 min 56 sec"
"103","2","476.4","389.05433318155355","90.3","1 min 30 sec"
"104","1","539.1","340.9423879081481","104.9","1 min 45 sec"
"104","2","973.7","390.39479992866154","202.9","3 min 23 sec"
"105","1","762.3","207.71563636803288","227.7","3 min 48 sec"
"105","2","1184.2","449.7771659462749","323.8","5 min 24 sec"
"106","1","789.5","383.3277422514637","153.2","2 min 33 sec"
"106","2","920","378.67371783421","157.6","2 min 38 sec"
"107","1","442.1","315.1054763606906","96.5","1 min 37 sec"
"107","2","693.9","344.5363264836618","138.3","2 min 18 sec"
"108","1","602.7","338.33588035456233","109.8","1 min 50 sec"
"108","2","836.1","347.96968277559023","137.2","2 min 17 sec"
"109","1","569.6","446.9276027795598","102.8","1 min 43 sec"
"109","2","572.2","388.5718895971147","111.4","1 min 51 sec"
"110","1","558.8","399.3556635078777","135","2 min 15 sec"
"110","2","477.8","353.40852432862386","85.9","1 min 26 sec"
"111","1","1003.5","379.77265853145377","170.6","2 min 51 sec"
"111","2","576.7","370.7576368648094","116.5","1 min 57 sec"
"112","1","545.2","377.77095382080586","129.2","2 min 9 sec"
"112","2","713.1","370.4583320059956","139.9","2 min 20 sec"
"113","1","386.2","316.20581113916893","76.1","1 min 16 sec"
"113","2","536.7","296.8895199395184","124.5","2 min 5 sec"
"114","1","668.4","384.7680257816734","288.1","4 min 48 sec"
"114","2","611","380.7198883411594","113.1","1 min 53 sec"
"115","1","514.1","377.04891526279835","115.5","1 min 56 sec"
"115","2","577","317.31827060082003","166.4","2 min 46 sec"
"116","1","473.2","372.91583169124556","141.8","2 min 22 sec"
"116","2","507.3","379.99032885395036","118.7","1 min 59 sec"
"117","1","409.7","334.02540342053794","79.8","1 min 20 sec"
"117","2","651.9","297.4775766893981","106.7","1 min 47 sec"
"118","1","328","222.93491089858858","61.4","1 min 1 sec"
"118","2","671.4","311.36438672351323","117.7","1 min 58 sec"
"119","1","522.5","283.659823211155","118","1 min 58 sec"
"119","2","479","267.2084579995558","105.3","1 min 45 sec"
"120","1","522.5","277.43429638035394","111.3","1 min 51 sec"
"120","2","583.5","358.4054612776135","192","3 min 12 sec"
"121","1","1272.2","257.4909349087178","556.8","9 min 17 sec"
"121","2","297.9","219.23072402788657","90.8","1 min 31 sec"
"122","1","433.7","284.1508123004414","75","1 min 15 sec"
"122","2","574.7","358.193810675302","101.9","1 min 42 sec"
"123","1","324.3","259.6172197918995","82.8","1 min 23 sec"
"123","2","833.3","267.82940748980275","179.3","2 min 59 sec"
"124","1","924.8","238.8794406951406","170.6","2 min 51 sec"
"124","2","373.7","278.0270178050477","71.4","1 min 11 sec"
"125","1","1637.2","306.3172993742831","293.8","4 min 54 sec"
"125","2","435.9","236.8885986906258","86.9","1 min 27 sec"
"126","1","786.4","312.90560165884597","161.4","2 min 41 sec"
"126","2","845.8","355.00917040593964","159.4","2 min 39 sec"
"127","1","293.4","221.9984836645892","65.1","1 min 5 sec"
"127","2","532.2","306.1263155696643","135.5","2 min 16 sec"
"128","1","620.6","330.55734735734194","106.3","1 min 46 sec"
"128","2","984.7","332.98804965534146","202.7","3 min 23 sec"
"129","1","1600.6","336.1460522509053","320.9","5 min 21 sec"
"129","2","1459.7","317.8152350432992","324.8","5 min 25 sec"
"130","1","735.5","381.599708547377","132.7","2 min 13 sec"
"130","2","684.6","284.1518900352578","114.8","1 min 55 sec"
"131","1","426.4","281.0801773550708","75.7","1 min 16 sec"
"131","2","958.4","242.32343679786996","160.9","2 min 41 sec"
"132","1","528.4","330.2883488678425","137.6","2 min 18 sec"
"132","2","415.8","253.04986337262426","106","1 min 46 sec"
"133","1","276.3","241.0209957631339","56","0 min 56 sec"
"133","2","378.3","238.44246114978358","72.7","1 min 13 sec"
"134","1","339.7","241.38810592331086","125.9","2 min 6 sec"
"134","2","516.9","250.8523327483818","117.6","1 min 58 sec"
"135","1","462","246.90739473014264","77.5","1 min 18 sec"
"135","2","448","334.73863490993864","73.3","1 min 13 sec"
"136","1","849.1","252.712820305793","141.9","2 min 22 sec"
"136","2","782.4","341.8640303075578","128","2 min 8 sec"
